Từ_1        Từ_2         1    2    3    4    5    6    7    8    9    10   11   12   
cũ          mới          0.5  0.0  0.5  0.5  0.0  0.5  0.5  1.0  0.0  1.0  0.0  0.0  
thông_minh  khôn_ngoan   8.5  8.3  8.0  7.5  8.7  8.1  9.0  8.1  7.9  8.8  7.8  7.9  
khó_khăn    khó          8.5  8.1  8.0  8.0  8.8  8.8  8.0  8.1  7.9  8.5  7.9  7.6  
hạnh_phúc   vui_vẻ       8.0  8.2  9.0  6.6  7.7  7.7  6.0  7.6  7.4  7.8  7.3  7.4  
khó_khăn    dễ           1.0  0.6  0.5  1.0  0.5  1.0  1.0  0.6  0.4  1.5  0.5  0.5  
nhanh       mau_lẹ       8.5  8.7  8.0  6.0  8.6  8.2  8.0  8.1  7.9  8.2  7.7  7.8  
hạnh_phúc   sung_sướng   8.5  8.2  8.5  7.0  8.0  8.9  8.0  8.1  7.9  8.2  8.0  7.7  
ngắn        dài          0.0  0.0  0.0  0.5  0.0  0.0  1.0  1.6  0.0  1.0  1.3  1.4  
ngu_ngốc    đần_độn      8.5  8.4  7.0  9.0  8.9  8.2  9.0  8.1  7.9  8.1  7.9  7.6  
lạ_lùng     lạ           8.0  7.9  8.0  5.0  8.2  7.7  7.0  7.6  7.4  7.6  7.3  7.4  
rộng        hẹp          0.5  0.0  0.5  0.5  0.0  0.0  0.5  0.0  0.5  1.0  0.5  0.5  
tồi         trang_nghiêm 2.0  1.9  2.0  0.5  1.6  1.8  2.0  1.6  1.4  2.4  1.2  1.3  
dễ          khó          0.0  0.0  1.0  0.5  0.0  0.0  1.0  1.1  0.9  0.0  1.0  0.7  
tồi         khủng_khiếp  7.5  7.6  4.3  4.0  7.7  7.5  4.0  7.1  6.9  7.2  6.8  6.9  
khó_khăn    đơn_giản     1.0  0.6  1.0  1.0  0.6  0.7  1.5  0.6  0.4  1.2  0.5  0.5  
thông_minh  đần_độn      1.0  0.0  1.0  0.0  0.5  0.0  0.8  0.0  0.9  0.0  0.8  0.9  
điên_rồ     dở_hơi       8.0  8.1  9.0  9.0  7.6  8.2  7.0  7.6  7.4  7.6  7.5  7.2  
hạnh_phúc   điên         2.5  2.6  1.0  3.0  2.5  2.6  2.0  2.1  1.9  2.0  1.7  1.8  
rộng_lớn    lớn          7.5  7.1  9.0  9.5  7.1  7.9  9.0  7.1  6.9  7.4  7.0  6.7  
khó_khăn    phức_tạp     8.0  7.8  7.0  7.5  7.9  7.6  9.0  7.6  7.4  8.3  7.3  7.4  
mới         tươi         3.0  2.7  5.0  5.0  3.3  2.6  7.0  2.6  2.4  3.4  2.4  2.1  
nhanh_trí   ngu_đần      0.5  0.0  0.5  0.0  0.5  0.0  0.5  0.5  0.5  0.5  0.8  0.9  
nhanh_chóng mau_lẹ       8.5  8.8  8.0  7.0  8.0  8.2  7.0  8.1  7.9  8.8  8.0  7.7  
đần_độn     ngu_xuẩn     8.0  7.3  8.5  7.5  7.9  7.7  8.0  7.6  7.4  7.7  7.2  7.3  
tuyệt_vời   đẹp_đẽ       7.5  7.2  7.0  8.0  7.1  7.5  7.0  7.1  6.9  8.0  7.0  6.7  
lạ          kỳ_lạ        7.5  7.2  7.0  6.0  7.8  7.7  7.0  7.1  6.9  7.0  6.8  6.9  
hạnh_phúc   bất_mãn      2.5  2.9  3.0  3.0  2.8  2.6  2.3  2.1  1.9  2.3  1.9  2.9  
hẹp         rộng_rãi     0.0  1.0  0.0  0.5  1.0  0.5  1.0  1.1  0.9  0.5  0.8  0.9  
đơn_giản    dễ           8.0  8.1  8.5  8.0  7.8  8.1  7.5  7.6  7.4  8.0  7.5  7.2  
cũ          tươi         1.0  1.3  1.0  1.0  0.9  1.5  1.0  0.6  0.4  0.9  0.5  0.5  
hiển_nhiên  rõ_ràng      7.5  7.6  9.0  6.6  7.4  7.5  6.0  7.1  6.9  7.2  7.0  6.7  
hời         rẻ           7.5  7.7  6.0  8.5  7.5  7.8  7.0  7.1  6.9  7.4  6.8  6.9  
đẹp         hào_phóng    5.5  5.6  7.0  3.5  6.0  5.4  5.5  5.1  4.9  5.1  4.9  4.6  
lạ_lùng     bình_thường  2.5  2.0  3.0  3.0  3.0  2.6  3.0  2.1  1.9  2.2  1.8  1.9  
lạ_lùng     kỳ_lạ        8.5  8.4  8.0  8.0  8.4  8.8  7.0  8.1  7.9  8.8  8.0  7.7  
tồi         xấu_xa       8.0  7.7  8.0  6.6  7.9  7.8  6.0  7.6  7.4  7.7  7.2  7.3  
buồn        hài_hước     2.5  2.3  2.0  0.5  2.9  2.8  1.0  2.1  1.9  2.2  2.0  1.7  
tuyệt_vời   vĩ_đại       6.5  6.7  5.0  5.0  6.8  6.7  6.0  6.1  5.9  6.8  5.8  5.9  
tội_lỗi     hổ_thẹn      7.0  6.5  6.0  6.5  7.1  6.9  5.0  6.6  6.4  7.2  6.4  6.1  
xinh_đẹp    tuyệt_vời    7.5  7.6  6.0  7.0  7.8  7.7  6.0  7.1  6.9  7.5  6.8  6.9  
tự_tin      chắc_chắn    8.0  8.2  5.0  7.0  7.5  7.8  6.0  7.6  7.4  8.2  7.5  7.2  
đần_độn     ngu_si       8.5  8.4  9.0  10.0 8.0  8.8  8.0  8.1  7.9  8.8  7.7  7.8  
