Từ 1	Từ 2	Độ tương tự
cũ	mới	0.4
thông_minh	khôn_ngoan	8.2
khó_khăn	khó	8.2
hạnh_phúc	vui_vẻ	7.5
khó_khăn	dễ	0.8
nhanh	mau_lẹ	7.9
hạnh_phúc	sung_sướng	8.1
ngắn	dài	0.6
ngu_ngốc	đần_độn	8.2
lạ_lùng	lạ	7.4
rộng	hẹp	0.4
tồi	trang_nghiêm	1.6
dễ	khó	0.5
tồi	khủng_khiếp	6.4
khó_khăn	đơn_giản	0.8
thông_minh	đần_độn	0.5
điên_rồ	dở_hơi	7.8
hạnh_phúc	điên	2.1
rộng_lớn	lớn	7.7
khó_khăn	phức_tạp	7.7
mới	tươi	3.5
nhanh_trí	ngu_đần	0.4
nhanh_chóng	mau_lẹ	7.9
đần_độn	ngu_xuẩn	7.6
tuyệt_vời	đẹp_đẽ	7.3
lạ	kỳ_lạ	7.1
hạnh_phúc	bất_mãn	2.5
hẹp	rộng_rãi	0.7
đơn_giản	dễ	7.8
cũ	tươi	0.9
hiển_nhiên	rõ_ràng	7.2
hời	rẻ	7.2
đẹp	hào_phóng	5.3
lạ_lùng	bình_thường	2.5
lạ_lùng	kỳ_lạ	8.1
tồi	xấu_xa	7.5
buồn	hài_hước	2
tuyệt_vời	vĩ_đại	6.1
tội_lỗi	hổ_thẹn	6.5
xinh_đẹp	tuyệt_vời	7
tự_tin	chắc_chắn	7.3
đần_độn	ngu_si	8.4
rộng_lớn	mênh_mông	8.5
đẹp	độc_ác	3.8
nóng_nảy	lo_lắng	4.7
mênh_mông	rộng_rãi	7.9
mạnh_mẽ	tự_hào	4.6
vô_ích	cần_thiết	0.9
hiếu_động	trẻ	4.5
đần_độn	khôn_ngoan	0.6
tồi	vĩ_đại	1.1
khó	đơn_giản	1.7
cần_thiết	quan_trọng	7.6
tồi	đẹp_đẽ	0.8
điên	sung_sướng	1.8
thật_thà	tội_lỗi	1.8
dễ	phức_tạp	1.1
dễ	linh_hoạt	2.5
nhất_định	chắc_chắn	7.2
thiết_yếu	cần_thiết	8
khác_biệt	bình_thường	2.7
gian_xảo	tài_giỏi	1.9
chủ_yếu	quan_trọng	6.7
tàn_nhẫn	độc_ác	8.8
ngây_ngô	ngu_xuẩn	6.8
khan_hiếm	quý_hiếm	7.4
thân_thiện	hào_phóng	5.3
mong_manh	lạnh_nhạt	3.4
dài	hẹp	3.9
mênh_mông	nặng	1.5
thô	lạnh_nhạt	4.1
kỳ_quái	lạ	7
phi_pháp	xấu_xa	6.5
tồi	tội_lỗi	6
hiện_đại	cổ_xưa	1.1
mới	cổ_xưa	1.3
ngu_đần	hài_hước	1.3
hạnh_phúc	trẻ	2.6
dễ	mênh_mông	0.3
vĩ_đại	trang_nghiêm	5.7
nhỏ	lớn	0.2
lịch_sự	chân_chính	3.8
khiêm_tốn	hổ_thẹn	3.2
quý_giá	quý_hiếm	7.4
đần_độn	tài_giỏi	1.1
hân_hoan	tuyệt_vời	6.2
đáng_kể	rõ_ràng	3.1
hoảng_sợ	lo_lắng	7.5
ngay_thẳng	chân_chính	8.4
tồi_tàn	ngu_đần	3
hân_hoan	vui_vẻ	7.9
bất_hạnh	điên	3.7
buồn	khủng_khiếp	6.3
ốm	dở_hơi	2.5
mãnh_liệt	bất_mãn	2.5
đầy	nặng	5.4
bẩn	rẻ	4.6
co_giãn	linh_hoạt	5.9
khó_khăn	ngu_si	1.5
gần	mới	1.3
dũng_cảm	tự_hào	5.4
gian_xảo	lạ	0.9
lạ	gian_xảo	1.2
đần_độn	quý_hiếm	0.3
gian_xảo	phức_tạp	0.9
đẹp_đẽ	điên	1.3
khiêm_tốn	linh_hoạt	0.8
tươi	rộng	0.9
lớn	đần_độn	0.5
rộng_lớn	linh_hoạt	1.7
bẩn	hẹp	1.9
vợ	chồng	3.2
sách	chữ	5.8
chú_rể	cô_dâu	3.4
ban_đêm	ban_ngày	2.1
nam	bắc	2.7
máy_bay	sân_bay	4.2
chú	cô	4
trâu	ngựa	5.3
đáy	đỉnh	1.7
bạn	bạn_bè	8
sinh_viên	học_sinh	6.9
thế_giới	trái_đất	7.3
chân	tay	3.1
máy_bay	máy_bay_phản_lực	5.9
phụ_nữ	đàn_ông	3.5
trâu	cừu	4.7
cô_giáo	thầy_giáo	5.5
giáo_viên	giảng_viên	8.3
điện_ảnh	phim	7
chim	diều_hâu	6.9
từ	từ_điển	6.2
tiền	lương	7.2
chó	mèo	2.7
vùng	miền	8
hải_quân	quân_đội	7
sách	văn_học	6.6
quần_áo	tủ	5.9
hoàng_hôn	rạng_đông	2.5
trẻ_em	người_lớn	2.3
bò	gia_súc	6.8
sách	truyện_ngắn	6.2
mùa_đông	mùa_hè	2.5
taxi	xe_tải	3.4
cây	tre	5.7
giường	buồng	4.2
mái	trần	6.9
bệnh	nhiễm_trùng	6.4
tay	vai	3.6
lợn	chân_giò	5.9
bà	ông	3.6
thuyền	mỏ_neo	5.4
thầy_tu	nhà_sư	7.7
ngón	ngón_trỏ	6.5
sông	suối	5.8
lôi_đình	tam_bành	8.5
ngày_tháng	lịch	6.1
biển	đại_dương	7.4
giây	phút	4.7
bàn_tay	ngón_cái	5.7
gỗ	cây_gỗ	7.2
chất_thải	rác	7.4
hành_lang	lối	6.5
cách_thức	phương_pháp	8.7
chuột	mèo	1.8
công_an	cảnh_sát	6.9
thi_thể	tang_lễ	5.2
âm_nhạc	giai_điệu	7.8
bia	cồn	6.7
miệng	môi	6.2
bão	giông	7.7
thuế	doanh_thu	2.8
hoa	cúc	5.8
giấy	bìa	7.1
sàn	trần	2
bãi_tắm	vịnh	6.5
gậy	rèm	1.5
linh_cẩu	cáo	6.2
đường_phố	ngõ_hẻm	4
thuyền	boong	5.8
xe_hơi	còi	3.3
bạn	khách	4.5
chủ	nhân_viên	4.9
bàn_tay	cổ_tay	5.8
bóng	đại_bác	1.2
cồn	rượu_nếp	6.9
thắng_lợi	chiến_thắng	9
điện_thoại	gian_hàng	2
cửa	ngõ	3.6
nhà_trọ	nhà_nghỉ	6.9
quần_áo	vải	6.1
chả_lụa	thịt	6.2
móng	ngón_cái	4
ban_nhạc	dàn_nhạc	6.2
sách	kinh_thánh	5.7
thương_mại	công_nghiệp	5.4
mùa_đông	mùa	6.3
thập_kỷ	thế_kỷ	5.8
cồn	rượu_trắng	7.3
mũ	áo	4.3
cửa_sổ	cửa	6.8
tay	cổ_tay	5.5
nhà	căn_hộ	7.8
ly	pha_lê	5.6
rượu	rượu_nếp	7.5
nghệ_sĩ	nghệ_nhân	7
bữa_ăn	thức_ăn	5.6
tay	cơ_bắp	3.9
bọt	xà_phòng	5.6
bánh_dẻo	bột	5.6
thi_thể	thảm_kịch	3.7
tiềm_năng	biểu_hiện	2.2
súng	đại_bác	4.3
cỏ	ngọn	4.5
bóng	rổ	3
vòi_nước	vườn	1.5
trai	trẻ_con	3.8
nhà_thờ	hợp_xướng	1.6
quần_áo	ngăn_kéo	3.4
cao_ốc	chuông	1.6
cha	cha_mẹ	7.3
trường_học	cấp	4.6
cha_mẹ	người_lớn	4.5
nhà_hàng	nhà_tù	1.6
xe_hơi	đường_cao_tốc	2.9
từ_điển	ngữ_nghĩa	5
cửa	hầm	1.9
quân_đội	lữ_đoàn	5.6
kim_loại	nhôm	5.9
ghế	bàn	3.6
mây	sương_mù	6.2
trai	con_trai	7.2
nước	băng_tuyết	5.9
giường	màn	3.5
luật_sư	luật_gia	8.2
vùng	khu_vực	7.8
thương_mại	công_ty	5.5
quần_áo	vải_vóc	5.7
sơ_mi	áo_choàng	4.9
tiền	vốn	6.9
bàn_tay	bàn_chân	4.1
cồn	rượu_cần	6.8
thước	li	4.4
phân_tử	nguyên_tử	5.5
thấu_kính	máy_ảnh	4.4
bữa	bữa_ăn	4.7
mắt	nước_mắt	5.1
thánh_thần	ma_quỷ	2.2
vòng	dây_lưng	3.7
chuột_nhắt	chuột	6.6
động_cơ	máy	7.3
xe_hơi	xe_tải	4.1
mèo	sư_tử	4.2
cỡ	cường_độ	2.2
thực_tế	ảo_tưởng	0.6
cửa	cổng	4.7
mèo	vật_nuôi	5.9
thiếc	nhôm	4.6
xương	hàm	6.1
lương_thực	lúa_nước	6.3
nhà	sổ_đỏ	3.4
máu	hồng_cầu	7.7
cửa	lối	7
thánh_thần	linh_hồn	3.9
khả_năng	năng_lực	8.2
